trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
314,False,"{'a': 0.01, 'e': 0.0432827979019659}",20,9,25.87123895719074,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.01, 'e': 0.042852126867040194}",20,10,17.152776296071096,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.01, 'e': 0.04242574108051139}",25,8,29.37569391821005,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.01, 'e': 0.04200359790344556}",20,2,29.306871280752116,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.01, 'e': 0.04158565512117317}",20,12,12.98735059136832,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.01, 'e': 0.041171870939067746}",30,6,30.2784757647262,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.01, 'e': 0.04076220397836622}",25,20,7.340145564973692,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 0.01, 'e': 0.040356613272031154}",20,11,12.460912309734269,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.01, 'e': 0.0399550582606539}",25,6,30.462508145514946,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.01, 'e': 0.03955749878839873}",20,6,26.545520785812165,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.01, 'e': 0.03916389509898707}",30,21,18.411355989777736,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.01, 'e': 0.038774207831722016}",25,9,28.745767957888386,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.01, 'e': 0.03838839801755206}",30,23,11.887740501402758,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.01, 'e': 0.03800642707517432}",20,8,21.398814650282418,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.01, 'e': 0.03762825680717621}",25,13,21.847594440023155,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
